단어,빈도
해커스,79
기출,58
기본,37
모의고사,33
공무원,27
토익,26
경찰,25
문제집,25
기념,24
실전,22
사랑,20
일본어,19
the,18
시험,17
통합,17
영어,17
ncs,16
인생,15
국어,15
핵심,15
ai,15
수업,14
최신,14
능력,14
초판본,14
시대,13
유형,13
문제,13
공단기,13
투자,12
